Title,Ingredients,Recipe,Prep & Cooking Time
Pomme de terre aux herbes,500 g de rattes; 6 gousses d'ail; 2 échalotes; 6 brins de ciboulette; 10 feuilles de basilic; 6 brins de coriandre; 1 feuille de laurier; 1 brin de thym frais; 6 cuillerées à soupe d'huile d'olive; Fleur de sel,"Éplucher et émincer les échalotes. Émincer grossièrement la ciboulette, le basilic et la coriandre. Laver les rattes, puis les sécher. Dans une poêle, faire revenir à feu doux les gousses d'ail, les échalotes, le laurier et le thym dans l'huile pendant 5 minutes. Ajouter les rattes et les faire dorer 5 à 10 minutes. Couvrir et faire cuire pendant 15 minutes à feu doux, en remuant : les rattes doivent être tendres. Ajouter les herbes et le sel, puis servir.","Préparation 10 minutes, Cuisson 30 minutes"
Boulgour asperge chèvre,"250 g de boulgour; 2 échalotes; 1 pincée de safran; 37,5 cl de bouillon de légumes; 4 asperges vertes; 2 crottins de Chavignol; 6 brins de ciboulette; 2 cuillerées à soupe d'huile d'olive; Sel, poivre","Couper les asperges en fines rondelles et le chèvre en lanières. Éplucher les échalotes et les ciseler finement. Dans une poêle antiadhésive, faire revenir doucement les échalotes dans l'huile d'olive et ajouter le boulgour. Laisser dorer. Mouiller avec le bouillon de légumes, puis ajouter le safran. Laisser cuire selon le temps indiqué sur le paquet, ajouter les asperges, mélanger et prolonger la cuisson de 5 minutes. Assaisonner, disposer les tranches de chèvre et parsemer la ciboulette.","Préparation 10 minutes, Cuisson 15 minutes"
Boulgour tofu butternut,"100 g de boulgour; 1 échalote; 200 g de courge butternut; 100 g de tofu; 1 cuillerée à café d'herbes de Provence; 1 citron; 200 g de bouillon de légumes; 2 cuillerées à soupe d'huile d'olive; Sel, poivre","Éplucher l'échalote et la ciseler finement. Éplucher et couper la courge en petits cubes de 1 cm, faire de même avec le tofu. Dans une poêle, faire revenir l'échalote et la courge à l'huile d'olive. Ajouter le boulgour et les herbes de Provence, mouiller avec le bouillon de légumes et laisser cuire pendant 10 minutes. Râper le citron afin de récupérer les zestes, puis récupérer le jus. Ajouter le tout à la préparation et assaisonner.","Préparation 15 minutes, Cuisson 15 minutes"
Risotto légumes,"300 g de riz arborio; 1 carotte; 1 courgette; 1 poivron rouge; 1 branche de céleri; 3 gousses d'ail; 60 cl de bouillon de légumes; 50 g de beurre; 80 g de parmesan; Sel, poivre","Peler la carotte et la couper en rondelles. Émincer la courgette, le céleri et le poivron, et les couper en petits cubes. Éplucher et hacher finement l'ail. Dans une poêle antiadhésive faire revenir tous les légumes avec l'ail dans le beurre pendant 5 minutes. Ajouter le riz et mouiller petit à petit avec le bouillon jusqu'à ce que le riz soit cuit, soit environ 20 minutes. Assaisonner et parsemer le parmesan râpé.","Préparation 15 minutes, Cuisson 25 minutes"
Endive roquefort,"4 belles endives biens claires; 60 g de roquefort; 50 g de noisettes; 20 cl de bouillon de légumes; 6 brins de ciboulette; 5 cuillerées à soupe d'huile d'olive; Sel, poivre","Hacher finement la ciboulette. Couper les endives en quatre dans le sens de la longueur. Émietter le roquefort. Écraser grossièrement les noisettes. Dans une poêle antiadhésive, faire colorer les endives dans l'huile d'olive à feu vif. Mouiller avec le bouillon de légumes et laisser s'évaporer totalement. Ajouter les miettes de roquefort, les noisettes écrasées et la ciboulette, puis assaisonner.","Préparation 5 minutes, Cuisson 15 minutes"
Curry de courgette,"500 g de courgettes rondes; 2 oignons; 1 pincée de safran; 1 orange; 20 cl de lait de coco; 2 cuillerées à soupe d'huile d'olive; Sel, poivre","Éplucher et hacher finement les oignons. Couper les courgettes rondes en quartiers. Râper le zeste de l'orange et récupérer le jus. Dans une poêle, faire revenir les oignons dans l'huile d'olive, ajouter les courgettes, le jus d'orange et laisser réduire. Mouiller avec le lait de coco, ajouter le safran et les zestes de l'orange puis assaisonner.","Préparation 5 minutes, Cuisson 10 minutes"
Légumes verts trofie,"150 g de trofie; 150 g de petits pois frais écossés; 150 g de mange-tout; 3 gousses d'ail; 1 oignon; 50 g d'amandes; 50 g de cranberries séchées; 50 cl de bouillon de légumes; 3 cuillerées à soupe d'huile d'olive; Sel, poivre","Éplucher et émincer l'ail ainsi que l'oignon. Enlever le fil des mange-tout. Hacher grossièrement les amandes. Dans une poêle antiadhésive, faire revenir à feu doux l'ail et l'oignon dans l'huile. Mouiller avec le bouillon, ajouter les mange-tout et faire cuire pendant 5 minutes. Ajouter les trofie, prolonger la cuisson de 5 minutes puis verser les petits pois et les cranberries. Laisser cuire pendant 5 minutes supplémentaires et assaisonner. Parsemer les amandes avant de servir.","Préparation 15 minutes, Cuisson 15 minutes"
Choux de Bruxelles feta raisin,"400 g de choux de Bruxelles; 100 g de feta; 50 g de raisins blonds; 10 cl de bouillon de légumes; 3 cuillerées à soupe d'huile d'olive; Sel, poivre","Couper les choux de Bruxelles en deux et les rincer. Couper la feta en cubes de 1 cm. Dans une poêle faire revenir les choux de Bruxelles à feu doux afin de les lustrer. Ajouter le bouillon de légumes et les raisins, et faire cuire à feu doux pendant 10 minutes. Assaisonner et ajouter la feta avant de servir.","Préparation 10 minutes, Cuisson 10 minutes"
Aubergine noisette coriandre,1 aubergine noire; 1 aubergine rose; 1 aubergine blanche; 3 oignons; 50 g de noisettes; 3 brins de coriandre; 10 cl d'huile d'olive; Fleur de sel,"Couper les aubergines en cubes de 1 cm. Éplucher les oignons et les couper en quartiers. Écraser grossièrement les noisettes. Dans une poêle, faire revenir les dés d'aubergine dans l'huile d'olive avec les oignons. Laisser revenir à feu doux pendant 20 minutes, ajouter les noisettes et prolonger la cuisson de 5 minutes. Assaisonner et parsemer la coriandre avant de servir.","Préparation 10 minutes, Cuisson 25 minutes"
Aubergine tomate olive noire,2 aubergines noires; 200 g de tomates cerises; 50 g d'olives noires à la grecque; 3 oignons; 3 gousses d'ail; 10 cl d'huile d'olive; 4 brins de menthe; 1 cuillerée à soupe de poivre; Sel,"Couper les aubergines en cubes de 1 cm. Couper les tomates cerises et les olives en deux. Éplucher les oignons et l'ail et les émincer grossièrement. Dans une poêle faire revenir les aubergines avec les olives, les oignons et l'ail pendant 15 minutes. Ajouter les tomates cerises et prolonger la cuisson de 10 minutes. Assaisonner et ajouter les feuilles de menthe.","Préparation 15 minutes, Cuisson 25 minutes"
Œuf saumon aneth,4 œufs; 2 tranches de saumon fumé; 3 brins d'aneth; 80 g de mascarpone; 1 oignon; 2 cuillerées à soupe d'huile d'olive; Fleur de sel,"Éplucher et émincer l'oignon. Dans une poêle antiadhésive, faire revenir à feu doux, dans l'huile, l'oignon pendant 5 minutes. Casser les œufs, ajouter le saumon fumé coupé en lanières et prolonger la cuisson de 3 minutes. Assaisonner et parsemer les pluches d'aneth. Servir avec une quenelle de mascarpone.","Préparation 5 minutes, Cuisson 8 minutes"
Œuf croûtons fourme,"4 œufs; 2 tranches de pain noir; 80 g de fourme d'Ambert; 4 brins de ciboulette; 50 g de beurre; Sel, poivre","Ciseler finement la ciboulette. Couper le pain et la fourme en petits cubes. Dans une poêle antiadhésive, faire sauter les croûtons pendant 2 minutes dans le beurre. Casser les œufs et recouvrir aussitôt avec les dés de fromage. Faire cuire à feu doux pendant 3 minutes, assaisonner et parsemer la ciboulette.","Préparation 5 minutes, Cuisson 5 minutes"
Œuf poivron,"4 œufs; 1 poivron rouge; ½ poivron vert; ½ poivron jaune; 1 oignon; 3 cuillerées à soupe d'huile d'olive; Sel, poivre","Couper 4 belles rondelles de poivron rouge. Couper le reste des poivrons en petits cubes. Éplucher et émincer l'oignon. Dans une poêle antiadhésive, faire revenir à feu doux, dans l'huile, les dés de poivron et l'oignon avec les rondelles de poivron rouge pendant 7 minutes. Casser les œufs dans les rondelles et prolonger la cuisson de 3 minutes. Assaisonner.","Préparation 10 minutes, Cuisson 10 minutes"
Œuf britannique,"4 œufs; 8 tranches fines de poitrine fumée; 12 tomates cerises en grappe; 12 champignons de Paris; 50 g de beurre; Sel, poivre","Couper les champignons en quartiers. Dans une poêle antiadhésive, faire revenir, à feu doux, la poitrine fumée avec les champignons et les tomates dans le beurre pendant 7 minutes. Les mettre sur le côté de la poêle, casser les œufs et faire cuire pendant 3 minutes. Assaisonner.","Préparation 5 minutes, Cuisson 10 minutes"
Merlu riz pilaf,"4 pavés de merlu; 200 g de riz basmati; 1 oignon; 1 gousse d'ail; 50 cl de bouillon de légumes; 3 cuillerées à soupe d'huile d'olive; 30 g de beurre; Sel, poivre","Éplucher et hacher l'oignon ainsi que l'ail. Dans une poêle, faire revenir l'oignon et l'ail dans 1 cuillerée à soupe d'huile d'olive et le beurre. Ajouter le riz et le faire nacrer. Mouiller avec le bouillon de légumes et faire cuire pendant 15 minutes à couvert. Dans une autre poêle, faire cuire les pavés de merlu dans le reste d'huile d'olive 4 minutes de chaque côté. Assaisonner et servir avec le riz pilaf.","Préparation 10 minutes, Cuisson 20 minutes"
Moules chorizo,"1 kg de moules; 100 g de chorizo; 1 oignon; 2 gousses d'ail; 10 cl de vin blanc; 2 cuillerées à soupe d'huile d'olive; 4 brins de persil; Sel, poivre","Nettoyer et gratter les moules. Éplucher et hacher l'oignon et l'ail. Couper le chorizo en petits dés. Dans une grande poêle ou une cocotte, faire revenir l'oignon, l'ail et le chorizo dans l'huile d'olive pendant 5 minutes. Ajouter les moules, mouiller avec le vin blanc, couvrir et faire cuire à feu vif pendant 5 minutes jusqu'à ce que les moules soient ouvertes. Parsemer de persil haché et assaisonner.","Préparation 15 minutes, Cuisson 10 minutes"
Merlu poivron,"4 pavés de merlu; 1 poivron rouge; 1 poivron jaune; 1 oignon; 2 gousses d'ail; 3 cuillerées à soupe d'huile d'olive; Sel, poivre","Éplucher et émincer l'oignon et l'ail. Épépiner et couper les poivrons en lanières. Dans une poêle, faire revenir l'oignon, l'ail et les poivrons dans 2 cuillerées à soupe d'huile d'olive pendant 15 minutes jusqu'à ce qu'ils soient tendres. Réserver sur un côté de la poêle et faire cuire les pavés de merlu dans le reste d'huile d'olive 4 minutes de chaque côté. Assaisonner.","Préparation 10 minutes, Cuisson 20 minutes"
Saint-jacques potimarron,"12 noix de Saint-Jacques; 400 g de potimarron; 1 échalote; 40 g de beurre; 2 cuillerées à soupe d'huile d'olive; Sel, poivre","Éplucher le potimarron et le couper en petits cubes. Éplucher et hacher l'échalote. Dans une poêle, faire revenir l'échalote et le potimarron dans 20 g de beurre et l'huile d'olive pendant 15 minutes à feu doux jusqu'à ce qu'il soit tendre. Dans une autre poêle très chaude, poêler les noix de Saint-Jacques dans le reste de beurre 1 à 2 minutes de chaque côté. Assaisonner et servir aussitôt avec le potimarron.","Préparation 15 minutes, Cuisson 20 minutes"
Saint-jacques poireau,"12 noix de Saint-Jacques; 3 poireaux; 1 échalote; 20 cl de crème liquide; 40 g de beurre; 1 cuillerée à soupe d'huile d'olive; Sel, poivre","Nettoyer et émincer les poireaux. Éplucher et hacher l'échalote. Dans une poêle, faire revenir l'échalote et les poireaux dans 20 g de beurre pendant 15 minutes. Ajouter la crème liquide et laisser réduire de moitié. Dans une autre poêle chaude, snacker les Saint-Jacques dans le reste de beurre et l'huile d'olive 1 à 2 minutes par face. Assaisonner et servir la fondue de poireaux couverte des Saint-Jacques.","Préparation 15 minutes, Cuisson 20 minutes"
Cabillaud fenouil agrume,"4 dos de cabillaud; 2 bulbes de fenouil; 1 orange; 1 pamplemousse; 3 cuillerées à soupe d'huile d'olive; Sel, poivre","Émincer finement le fenouil. Prélever les suprêmes de l'orange et du pamplemousse et récupérer le jus. Dans une poêle, faire revenir le fenouil dans 2 cuillerées à soupe d'huile d'olive pendant 15 minutes. Ajouter le jus des agrumes et laisser réduire. Cuire les dos de cabillaud dans le reste d'huile d'olive pendant 4 minutes de chaque côté. Ajouter les suprêmes d'agrumes en fin de cuisson, assaisonner et servir.","Préparation 15 minutes, Cuisson 20 minutes"
Saumon tagliatelles,"4 pavés de saumon; 250 g de tagliatelles; 20 cl de crème liquide; 1 citron; 4 brins d'aneth; 2 cuillerées à soupe d'huile d'olive; Sel, poivre","Faire cuire les tagliatelles selon les instructions du paquet. Dans une poêle, faire cuire les pavés de saumon dans l'huile d'olive 4 à 5 minutes de chaque côté. Dans une casserole, chauffer la crème avec le jus de citron et l'aneth haché. Égoutter les pâtes, les mélanger à la sauce crème-citron, assaisonner et servir avec les pavés de saumon.","Préparation 10 minutes, Cuisson 15 minutes"
Mignon pruneaux,"2 filets mignons de porc; 150 g de pruneaux dénoyautés; 2 oignons; 15 cl de vin blanc; 30 g de beurre; 2 cuillerées à soupe d'huile d'olive; Sel, poivre","Couper les filets mignons en médaillons. Éplucher et émincer les oignons. Dans une poêle, faire dorer la viande dans le beurre et l'huile d'olive pendant 5 minutes de chaque côté, puis réserver. Dans la même poêle, faire revenir les oignons, ajouter les pruneaux et déglacer au vin blanc. Remettre la viande et laisser mijoter à feu doux pendant 15 minutes. Assaisonner.","Préparation 10 minutes, Cuisson 25 minutes"
